Shop / Contact,Date,Strain,Description,CT,Nett Weight (Kg),   Unit    Price    ,Total Incl
Marin,06/01/2026,MND,Mango Dog,GH,1.054,R9.00,R9 486.00
Marin,06/01/2026,PMR,Permanent Marker,GH,1.054,R9.00,R9 486.00
High5Canna,12/01/2026,MND,Mango Dog,GH,0.100,R12.00,R1 200.00
High5Canna,12/01/2026,PMR,Permanent Marker,GH,0.100,R12.00,R1 200.00
High5Canna,18/02/2026,VTC,Violet Cake,GH,0.175,R12.00,R2 100.00
High5Canna,18/02/2026,,Shipping,,,,R150.00
High5Canna,25/02/2026,MND,Mango Dog,GH,0.010,R12.00,R120.00
High5Canna,25/02/2026,PMR,Permanent Marker,GH,0.010,R12.00,R120.00
High5Canna,25/02/2026,BHB,Bad Neighbor,GH,0.010,R12.00,R120.00
High5Canna,25/02/2026,FOF,Face on Fire,GH,0.010,R12.00,R120.00
High5Canna,25/02/2026,APJ,Apple Jelly,GH,0.010,R12.00,R120.00
High5Canna,25/02/2026,,Shipping,,,,R150.00
High5Canna,09/03/2026,FOF,Face on Fire,GH,0.310,R12.00,R3 720.00
High5Canna,09/03/2026,PMR,Permanent Marker,GH,0.100,R12.00,R1 200.00
High5Canna,09/03/2026,,Shipping,,,,R150.00
The Puff Place,09/03/2026,APJ/C,Apple Jelly - Crushed,GH,0.120,R10.00,R1 200.00
The Puff Place,09/03/2026,GSK/C,Grape Stank - Crushed,GH,0.120,R10.00,R1 200.00
The Puff Place,09/03/2026,FOF/C,Face on Fire - Crushed,GH,0.060,R10.00,R600.00
The Puff Place,09/03/2026,BHB,Bad Neighbor,GH,0.054,R15.00,R810.00
The Puff Place,09/03/2026,MND,Mango Dog,GH,0.054,R15.00,R810.00
The Puff Place,09/03/2026,FOF,Face on Fire,GH,0.054,R15.00,R810.00
The Puff Place,09/03/2026,PMR,Permanent Marker,GH,0.054,R15.00,R810.00
The Puff Place,09/03/2026,APJ,Apple Jelly,GH,0.054,R15.00,R810.00
High5Canna,24/03/2026,GSK,Grape Stank,GH,0.100,R28.00,R2 800.00
High5Canna,24/03/2026,,Shipping,,,,R150.00
High5Canna,02/04/2026,GSK,Grape Stank,GH,0.100,R28.00,R2 800.00
High5Canna,02/04/2026,GSK,Permanent Marker,GH,0.200,R12.00,R2 400.00
High5Canna,02/04/2026,,Shipping,,,,R150.00
High5Canna - Linden,30/04/2026,GSK,Grape Stank - IND,,0.200,R28.00,R5 600.00
High5Canna - Glenvista,30/04/2026,GSK,Grape Stank - IND,,0.200,R28.00,R5 600.00
High5Canna - Krugersdorp,30/04/2026,GSK,Grape Stank - IND,,0.200,R28.00,R5 600.00
High5Canna - JBay,30/04/2026,GSK,Grape Stank - IND,,0.150,R28.00,R4 200.00
